ID,Name,Subject,Marks
S001,Yyyyy Dbbbbb,English,4
S002,Zzzzz Eccccc,Computer,8
S003,Aaaaa Fddddd,Physics,12
S004,Bbbbb Geeeee,Chemistry,16
S005,Ccccc Hfffff,Maths,20
S006,Ddddd Iggggg,Science,24
S007,Eeeee Jhhhhh,English,28
S008,Fffff Kiiiii,Computer,32
S009,Ggggg Ljjjjj,Physics,36
S010,Hhhhh Mkkkkk,Chemistry,40
S011,Iiiii Nlllll,Maths,44
S012,Jjjjj Ommmmm,Science,48
S013,Kkkkk Pnnnnn,English,52
S014,Lllll Qooooo,Computer,56
S015,Mmmmm Rppppp,Physics,60
S016,Nnnnn Sqqqqq,Chemistry,64
S017,Ooooo Trrrrr,Maths,68
S018,Ppppp Usssss,Science,72
S019,Qqqqq Vttttt,English,76
S020,Rrrrr Wuuuuu,Computer,80
S021,Sssss Xvvvvv,Physics,84
S022,Ttttt Ywwwww,Chemistry,88
S023,Uuuuu Zxxxxx,Maths,92
S024,Vvvvv Ayyyyy,Science,96
S025,Wwwww Bzzzzz,English,100
S026,Xxxxx Caaaaa,Computer,3
S027,Yyyyy Dbbbbb,Physics,7
S028,Zzzzz Eccccc,Chemistry,11
S029,Aaaaa Fddddd,Maths,15
S030,Bbbbb Geeeee,Science,19
S031,Ccccc Hfffff,English,23
S032,Ddddd Iggggg,Computer,27
S033,Eeeee Jhhhhh,Physics,31
S034,Fffff Kiiiii,Chemistry,35
S035,Ggggg Ljjjjj,Maths,39
S036,Hhhhh Mkkkkk,Science,43
S037,Iiiii Nlllll,English,47
S038,Jjjjj Ommmmm,Computer,51
S039,Kkkkk Pnnnnn,Physics,55
S040,Lllll Qooooo,Chemistry,59
S041,Mmmmm Rppppp,Maths,63
S042,Nnnnn Sqqqqq,Science,67
S043,Ooooo Trrrrr,English,71
S044,Ppppp Usssss,Computer,75
S045,Qqqqq Vttttt,Physics,79
S046,Rrrrr Wuuuuu,Chemistry,83
S047,Sssss Xvvvvv,Maths,87
S048,Ttttt Ywwwww,Science,91
S049,Uuuuu Zxxxxx,English,95
S050,Vvvvv Ayyyyy,Computer,99
S051,Wwwww Bzzzzz,Physics,2
S052,Xxxxx Caaaaa,Chemistry,6
S053,Yyyyy Dbbbbb,Maths,10
S054,Zzzzz Eccccc,Science,14
S055,Aaaaa Fddddd,English,18
S056,Bbbbb Geeeee,Computer,22
S057,Ccccc Hfffff,Physics,26
S058,Ddddd Iggggg,Chemistry,30
S059,Eeeee Jhhhhh,Maths,34
S060,Fffff Kiiiii,Science,38
S061,Ggggg Ljjjjj,English,42
S062,Hhhhh Mkkkkk,Computer,46
S063,Iiiii Nlllll,Physics,50
S064,Jjjjj Ommmmm,Chemistry,54
S065,Kkkkk Pnnnnn,Maths,58
S066,Lllll Qooooo,Science,62
S067,Mmmmm Rppppp,English,66
S068,Nnnnn Sqqqqq,Computer,70
S069,Ooooo Trrrrr,Physics,74
S070,Ppppp Usssss,Chemistry,78
S071,Qqqqq Vttttt,Maths,82
S072,Rrrrr Wuuuuu,Science,86
S073,Sssss Xvvvvv,English,90
S074,Ttttt Ywwwww,Computer,94
S075,Uuuuu Zxxxxx,Physics,98
S076,Vvvvv Ayyyyy,Chemistry,1
S077,Wwwww Bzzzzz,Maths,5
S078,Xxxxx Caaaaa,Science,9
S079,Yyyyy Dbbbbb,English,13
S080,Zzzzz Eccccc,Computer,17
S081,Aaaaa Fddddd,Physics,21
S082,Bbbbb Geeeee,Chemistry,25
S083,Ccccc Hfffff,Maths,29
S084,Ddddd Iggggg,Science,33
S085,Eeeee Jhhhhh,English,37
S086,Fffff Kiiiii,Computer,41
S087,Ggggg Ljjjjj,Physics,45
S088,Hhhhh Mkkkkk,Chemistry,49
S089,Iiiii Nlllll,Maths,53
S090,Jjjjj Ommmmm,Science,57
S091,Kkkkk Pnnnnn,English,61
S092,Lllll Qooooo,Computer,65
S093,Mmmmm Rppppp,Physics,69
S094,Nnnnn Sqqqqq,Chemistry,73
S095,Ooooo Trrrrr,Maths,77
S096,Ppppp Usssss,Science,81
S097,Qqqqq Vttttt,English,85
S098,Rrrrr Wuuuuu,Computer,89
S099,Sssss Xvvvvv,Physics,93
S100,Ttttt Ywwwww,Chemistry,97
S101,Uuuuu Zxxxxx,Maths,0
S102,Vvvvv Ayyyyy,Science,4
S103,Wwwww Bzzzzz,English,8
S104,Xxxxx Caaaaa,Computer,12
S105,Yyyyy Dbbbbb,Physics,16
S106,Zzzzz Eccccc,Chemistry,20
S107,Aaaaa Fddddd,Maths,24
S108,Bbbbb Geeeee,Science,28
S109,Ccccc Hfffff,English,32
S110,Ddddd Iggggg,Computer,36
S111,Eeeee Jhhhhh,Physics,40
S112,Fffff Kiiiii,Chemistry,44
S113,Ggggg Ljjjjj,Maths,48
S114,Hhhhh Mkkkkk,Science,52
S115,Iiiii Nlllll,English,56
S116,Jjjjj Ommmmm,Computer,60
S117,Kkkkk Pnnnnn,Physics,64
S118,Lllll Qooooo,Chemistry,68
S119,Mmmmm Rppppp,Maths,72
S120,Nnnnn Sqqqqq,Science,76
S121,Ooooo Trrrrr,English,80
S122,Ppppp Usssss,Computer,84
S123,Qqqqq Vttttt,Physics,88
S124,Rrrrr Wuuuuu,Chemistry,92
S125,Sssss Xvvvvv,Maths,96
S126,Ttttt Ywwwww,Science,100
S127,Uuuuu Zxxxxx,English,3
S128,Vvvvv Ayyyyy,Computer,7
S129,Wwwww Bzzzzz,Physics,11
S130,Xxxxx Caaaaa,Chemistry,15
S131,Yyyyy Dbbbbb,Maths,19
S132,Zzzzz Eccccc,Science,23
S133,Aaaaa Fddddd,English,27
S134,Bbbbb Geeeee,Computer,31
S135,Ccccc Hfffff,Physics,35
S136,Ddddd Iggggg,Chemistry,39
S137,Eeeee Jhhhhh,Maths,43
S138,Fffff Kiiiii,Science,47
S139,Ggggg Ljjjjj,English,51
S140,Hhhhh Mkkkkk,Computer,55
S141,Iiiii Nlllll,Physics,59
S142,Jjjjj Ommmmm,Chemistry,63
S143,Kkkkk Pnnnnn,Maths,67
S144,Lllll Qooooo,Science,71
S145,Mmmmm Rppppp,English,75
S146,Nnnnn Sqqqqq,Computer,79
S147,Ooooo Trrrrr,Physics,83
S148,Ppppp Usssss,Chemistry,87
S149,Qqqqq Vttttt,Maths,91
S150,Rrrrr Wuuuuu,Science,95
